Participant_ID,AGS_01,AGS_02,AGS_03,AGS_04,AGS_05,AGS_06,AGS_07,AGS_08,AGS_09,AGS_10,AGS_11,AGS_12,AGS_13,AGS_14,AGS_15,AGS_Total_Mean
P01,3,3,3,4,3,3,4,4,4,3,3,4,3,4,3,3.4
P02,3,3,2,3,3,3,2,2,2,3,3,3,2,3,3,2.67
P03,4,5,4,4,4,5,4,4,4,4,5,3,4,4,4,4.13
P04,3,3,3,3,4,3,3,3,3,4,3,4,4,3,4,3.33
P05,4,4,3,4,4,4,4,3,3,4,3,4,4,4,4,3.73
P06,3,3,3,3,4,3,4,3,3,3,2,3,4,3,4,3.2
P07,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3.2
P08,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2.53
P09,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3.87
P10,2,1,2,2,3,2,1,2,1,2,1,2,2,2,2,1.8
P11,4,4,5,4,4,4,4,5,5,5,4,5,4,5,4,4.4
P12,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4.13
P13,3,3,3,3,3,3,3,4,3,3,3,2,4,3,3,3.07
P14,5,5,4,5,4,4,4,5,4,4,5,5,5,4,5,4.53
P15,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,4.73
P16,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,3.67
P17,4,3,4,4,4,5,4,4,4,4,4,3,5,4,4,4.0
P18,4,5,4,4,3,4,3,3,4,4,4,3,4,4,4,3.8
P19,4,4,4,5,5,4,4,3,5,4,5,5,4,5,5,4.4
P20,4,4,3,4,3,3,3,3,3,3,3,3,3,2,3,3.13
P21,3,4,4,4,4,4,4,3,3,4,4,4,3,4,3,3.67
P22,4,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4.33
P23,4,3,5,4,4,4,5,3,4,4,4,4,4,4,4,4.0
P24,4,3,4,3,3,3,3,4,3,4,4,4,4,3,4,3.53
P25,5,4,5,4,4,4,5,4,4,5,5,5,4,4,5,4.47
P26,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4.0
P27,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3.87
P28,4,4,4,3,4,4,4,4,4,4,5,4,4,3,4,3.93
P29,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3.73
P30,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,3.8
P31,4,3,3,3,2,3,3,3,3,4,4,4,3,3,3,3.2
P32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
P33,4,3,4,4,3,3,4,4,4,3,4,3,3,3,3,3.47
P34,5,4,4,4,5,4,4,4,3,4,4,4,5,4,3,4.07
P35,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4.73
P36,4,3,3,3,3,2,2,3,3,2,3,4,4,3,3,3.0
P37,3,4,4,4,2,5,5,3,4,5,4,4,4,4,4,3.93
P38,4,3,4,3,3,4,4,4,4,4,3,4,3,4,4,3.67
P39,4,5,4,4,5,5,5,4,4,5,5,5,4,5,5,4.6
P40,2,3,2,3,4,3,3,3,3,4,3,3,3,3,3,3.0
P41,4,3,4,4,3,4,3,3,4,4,3,4,3,3,4,3.53
P42,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3.53
P43,4,3,3,4,3,3,4,3,4,3,2,4,3,3,4,3.33
P44,2,4,4,4,4,4,3,3,2,4,4,4,3,3,4,3.47
P45,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4.8
P46,3,4,4,5,4,4,3,4,4,4,4,4,4,4,4,3.93
P47,3,3,3,4,4,3,3,3,3,3,4,3,4,4,4,3.4
P48,4,4,4,4,3,4,4,4,3,3,3,3,4,4,3,3.6
P49,5,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4.07
P50,4,4,5,4,4,5,4,3,3,4,3,4,4,4,3,3.87
P51,3,3,2,4,3,3,3,3,2,3,4,3,4,4,3,3.13
P52,2,2,2,3,3,2,3,4,2,2,3,3,2,3,3,2.6
P53,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,3.73
P54,3,3,4,3,4,3,4,4,4,4,4,3,4,4,3,3.6
P55,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3.2
P56,5,4,4,4,4,5,5,5,5,5,5,4,4,4,5,4.53
P57,4,5,4,4,5,5,4,4,3,4,4,4,4,4,4,4.13
P58,3,4,5,3,4,4,4,3,4,4,4,4,4,4,4,3.87
P59,3,4,4,3,4,2,3,3,4,3,5,3,4,4,3,3.47
P60,5,5,4,4,5,5,4,4,4,5,5,5,5,4,4,4.53
