Participant_ID,Condition,Condition_Code,Grammar_Errors,Error_Free_T_Units_Pct,MTLD_Lexical_Diversity,Lexical_Overlap_Pct,Stance_Markers_Per_100w,First_Person_Expressions_Per_100w,Gender,Age,CEFR_Level,AI_Experience_Category
P01,Raw_Learner_Draft,0,7.92,43.37,92.56,13.43,4.11,6.98,Female,30,B2,1-2 years
P02,Raw_Learner_Draft,0,8.17,42.62,62.24,12.74,5.39,1.83,Female,30,C1,> 2 years
P03,Raw_Learner_Draft,0,11.19,39.84,71.09,10.16,2.15,8.59,Female,30,C1,> 2 years
P04,Raw_Learner_Draft,0,9.51,44.81,67.62,14.85,5.82,8.46,Male,22,C1,> 2 years
P05,Raw_Learner_Draft,0,11.88,36.71,79.98,15.27,5.65,6.59,Female,32,B1,> 2 years
P06,Raw_Learner_Draft,0,7.52,46.21,45.58,15.16,4.8,5.61,Male,32,C1,> 2 years
P07,Raw_Learner_Draft,0,4.26,49.73,58.86,12.14,4.43,6.67,Female,29,B2,1-2 years
P08,Raw_Learner_Draft,0,8.02,48.05,59.18,14.96,2.1,5.04,Male,28,B2,1-2 years
P09,Raw_Learner_Draft,0,8.09,41.12,77.7,9.05,2.3,6.27,Female,25,B2,< 1 year
P10,Raw_Learner_Draft,0,5.91,45.44,68.93,8.92,4.22,6.45,Male,30,C1,< 1 year
P11,Raw_Learner_Draft,0,7.3,50.3,92.23,17.19,3.68,4.57,Male,27,C1,1-2 years
P12,Raw_Learner_Draft,0,7.83,17.66,64.24,14.74,5.48,5.58,Male,25,B1,> 2 years
P13,Raw_Learner_Draft,0,6.17,48.08,79.02,10.84,3.12,6.66,Female,32,B1,> 2 years
P14,Raw_Learner_Draft,0,10.09,42.07,69.59,12.49,4.07,6.11,Female,19,B2,1-2 years
P15,Raw_Learner_Draft,0,6.95,45.99,59.55,7.26,4.18,5.28,Male,19,C1,1-2 years
P16,Raw_Learner_Draft,0,7.99,55.02,79.11,19.52,2.53,10.12,Female,27,B1,1-2 years
P17,Raw_Learner_Draft,0,8.46,41.2,67.08,13.82,4.67,8.53,Female,29,B2,< 1 year
P18,Raw_Learner_Draft,0,7.3,52.56,66.87,5.03,3.06,8.86,Female,32,C1,1-2 years
P19,Raw_Learner_Draft,0,6.2,46.09,70.19,15.47,4.23,4.96,Male,27,C1,> 2 years
P20,Raw_Learner_Draft,0,10.21,34.71,82.04,14.68,3.79,5.57,Female,22,B1,1-2 years
P21,Raw_Learner_Draft,0,8.64,42.14,55.88,9.44,3.64,9.94,Male,31,B2,1-2 years
P22,Raw_Learner_Draft,0,11.49,41.09,70.23,11.54,4.92,10.63,Female,27,C1,< 1 year
P23,Raw_Learner_Draft,0,8.84,35.27,84.58,15.08,5.83,5.93,Female,21,B1,1-2 years
P24,Raw_Learner_Draft,0,8.74,29.3,89.03,15.34,5.86,6.19,Male,25,B2,1-2 years
P25,Raw_Learner_Draft,0,10.99,57.27,55.37,15.17,3.96,3.3,Female,24,B2,> 2 years
P26,Raw_Learner_Draft,0,10.07,39.75,67.34,8.23,4.37,6.02,Male,26,C1,1-2 years
P27,Raw_Learner_Draft,0,7.57,39.98,72.51,11.19,3.4,8.68,Female,29,B2,< 1 year
P28,Raw_Learner_Draft,0,9.39,43.37,62.56,11.53,4.55,5.89,Female,27,B2,< 1 year
P29,Raw_Learner_Draft,0,3.96,52.06,60.55,16.23,3.43,2.34,Female,32,B2,> 2 years
P30,Raw_Learner_Draft,0,3.67,39.8,85.4,16.56,4.92,7.21,Female,23,C1,1-2 years
P31,Raw_Learner_Draft,0,10.53,52.04,84.03,16.39,3.61,9.03,Female,19,B2,< 1 year
P32,Raw_Learner_Draft,0,7.3,47.28,67.7,11.86,5.52,3.6,Female,21,B2,> 2 years
P33,Raw_Learner_Draft,0,9.9,46.13,61.25,15.77,4.95,6.52,Female,28,B2,> 2 years
P34,Raw_Learner_Draft,0,13.85,45.86,78.51,14.35,4.79,0.53,Male,30,B2,1-2 years
P35,Raw_Learner_Draft,0,7.11,45.4,45.99,7.64,4.23,8.85,Female,26,B2,1-2 years
P36,Raw_Learner_Draft,0,7.27,43.81,56.55,6.41,4.84,4.27,Female,29,C1,< 1 year
P37,Raw_Learner_Draft,0,10.91,33.51,50.49,18.33,3.22,4.06,Male,24,B2,1-2 years
P38,Raw_Learner_Draft,0,3.92,47.44,88.54,16.44,2.93,1.83,Male,26,B2,< 1 year
P39,Raw_Learner_Draft,0,7.88,41.21,85.47,8.33,3.17,9.03,Female,27,C1,< 1 year
P40,Raw_Learner_Draft,0,10.5,47.62,66.94,18.37,4.51,7.92,Female,22,C1,> 2 years
P41,Raw_Learner_Draft,0,7.28,34.45,63.35,12.64,5.13,6.78,Male,19,B1,1-2 years
P42,Raw_Learner_Draft,0,5.84,37.28,85.93,16.01,4.41,9.94,Female,32,B2,< 1 year
P43,Raw_Learner_Draft,0,5.57,32.43,90.56,11.63,3.62,6.87,Female,19,B2,> 2 years
